original_text,augmented_text,intermediate_english
今日份午餐,今天的午餐。,Today's lunch.
十个勤天 故事的结尾,十天 故事结束,Ten days. End of story.
年前能得到理想结果吗？不知道,到今年能取得预期结果吗?,Can you get the desired results by the year?
相册里的边角料,这是专辑的一个角度。,It's an angle in the album.
所谓咖啡集合 昆明恒隆广场(东风东路),"所谓的咖啡集市,昆明兴龙广场","The so-called coffee gathering, Kunming Heunglong Square."
さくらcmos版,今天版的独眼巨人和Os,Today's edition of Cyclops and Os.
花开花谢 好快 感觉春天就要结束了 打卡第六天,我觉得春天快结束了,I feel like spring's coming to an end.
运气时好时坏 在能接受的范围里,"祝你好运,祝你好运","Good luck, bad luck."
混入其中,合并,Combine in
Record 酒店轶事谢幕,记录酒店的动静。,Record hotel anecdote.
日子怎么会跟谁过都一样呢,生命怎么能和其他人一样呢?,How can life be the same as anyone else?
成了写礼账专业户了我说,"他成为了写礼品的专业人士, 我说,","He became a gift-writing professional, and I said,"
一些意料之外的意外,意外意外事故,Unexpected accidents.
新矿工。小魔法师。,"新矿工,小魔术师",New miners. Little magician.
你好，温州,"你好,温奇","Hello, Winch."
DidIcrosstheline,我跨过线条,DidIcrosstheline
潍坊一天，一万七千步 潍坊灵芝烤鸡(潍坊总店),"一天,17000步,烤鸡 在村里。","One day, 17,000 paces, chicken roasted in the village."
静一静 南昌陆上书店,"安静,南昌陆地书店","Quiet, Nanchang Land Bookshop."
这个微博就是我的电子垃圾桶 我每天都喜欢在里面碎碎念 我打算这次开学要写日记 认真记录自己的生活,"这个微博客是我的电子垃圾桶, 我喜欢每天阅读它。","This microblog is my electronic trash bin, and I like to read it every day."
微博发多多的图 北海,我们有很多北海的照片,We have a lot of pictures of the North Sea.
记录，今日115,"记录,今天,115。","Records, today, 115."
钱 还是抢着来比较快,钱还是更快,"The money, it's still faster."
今天的你也很辛苦,你今天也过得很辛苦,"You've had a hard day, too."
以笔丫丫yibiyiguya,拿支笔,Take a pen.
是呐 人生是遇见自己的旅行,"是啊,生活是去相遇的旅程","Yeah, life is a journey to meet itself."
鹿晗你怎么还不开四巡啊,你为什么不四轮?,Why don't you take four rounds?
上班之后 开会,"下班后,我们开会","After work, we have a meeting."
晚上的手机比白天好看 白天的觉比晚上好睡 一身反骨,"夜间电话看起来比白天好,白天睡觉比晚上好。","The night phone looks better than the daytime, the day sleeps better than the night."
你可以嬷我老公罗虹茗,你可以照顾我丈夫,You can take care of my husband.
你写这首的时候是怎样的心情,你写这封信的时候感觉如何?,How did you feel when you wrote this one?
一天，改减重了。,"有一天,它不那么重","One day, it's less heavy."
公园20分钟效应,20分钟的公园效应,The 20-minute park effect.
细碎的碎片天津,天津的微小碎片,Tianjin's tiny fragments.
上课认真的小孩 合肥,"你是个严肃的孩子,胖子","You're a serious kid, Fatty."
别人的十一假期：四处旅行观光 我的十一假期：狂玩小号鸟，疯狂卡关搜攻略沉淀，继续沉淀！,"其他人的第11个节日: 四处旅行,我的第11个节日: 玩小鸟游戏, 疯狂的禁闭, 慢慢的安顿下来, 继续沉没!","The 11th holiday for others: travelling around, my 11th holiday: playing with little birds, a mad lockdown that's slowly settling down and continuing to sink!"
抽象也不是第一天了哈,"这不是第一天 抽象的第一天,是吗?","It's not the first day of abstraction, is it?"
考完了，没什么感觉。中午开了个钟点房，只恨我的包太小，不能把酒店里面的水都拿走,中午我开了一个时钟间 我讨厌我的包太小 不能从酒店取水,"I'm done with the exam, I don't feel anything. I opened an hour room at noon, and I hate my bag being too small to take all the water from the hotel."
小小的我,小我一个。,Little me.
打完球以后过来加班，这个点下班也算感恩了。,比赛结束后我会在这里 我会很感激我下班的时间,"I'll be here after the game, and I'll be grateful for the time I'm off."
中美贸易战将决定我继续当苹果妹还是转生安卓妹,中美贸易战争将决定我是否继续是 安德烈的苹果还是转世,The China-American trade war will determine whether I will continue to be an apple or a reincarnation of Andre.
凑个热闹，看看有没有买一送一活动,我们来玩一玩 看看能不能买一个,Let's have a little fun and see if we can get one for one.
这风这云,风 云,"The wind, the clouds."
也是到了写字像大人的阶段了,是时候像大人一样写作了,It's time to write like an adult.
对讲机呼叫备忘录 报告！！ 发文有人看吗！！！,"无线电呼叫备忘录,报告!","Radio call memo, report!"
我每天：,每天我:,Every day I:
我叫娜塔丽,我是纳塔莉。,I'm Natalie.
五十万打卡,50万张卡片,Half a million cards.
乔尼得到了真正的圣人遗体,强尼有一个真正的圣人的身体。,Johnny's got a real saint's body.
现在是 第三阶段,现在是第三阶段了,It's now the third stage.
下雪了。 张掖,下雪了,It's snowing.
我会一直监视你,我会看着你的,I'll keep an eye on you.
突突突突突突突突突突，突突突突突突突突突，突突啊突突，突突突啊突突突突突兔兔兔,"快速, 突然, 突然, 突然, 突然, 突然, 突然, 迅速, 快速, 快速, 兔子。","Quick, sudden, sudden, sudden, sudden, sudden, Quick, Quick, Quick, Rabbit."
可以问问Deepseek，嫁给什么样的男人才会是幸福的吗？ （选对人会经营）,你能问问Deepseek 什么样的男人愿意结婚吗?,Can you ask Deepseek what kind of man is happy to marry?
怎么才一点 吃瓜吃的以为三点了。。。,甜瓜食物三点钟的时候 想到了多少?,How a little bit of melon food thought three o'clock.
人生也需要这样的清理,生活需要这种清理,Life needs this sort of clean-up.
凌晨3点投的现在就1w了不愧是榕师傅 现代人多是（）压抑,凌晨3点 现在是凌晨1点 是艺术大师,"At 3 a.m., it's 1:00 a.m., and it's the master of the arts."
我只接受健康的东西难喝 嗯。。喝吧,我只接受健康的东西 吸。,I only accept healthy things that suck.
新闻主播手里都可以拿着稿子看几眼。,新闻主播可以用一张纸看它。,The news anchors can look at it with a piece of paper.
先敷个面膜 让小盆友拆会家,让我们戴上面具 让我们的小朋友拆掉俱乐部,Let's put on a mask and let our little friends tear down the clubhouse.
啥味道没有 我儿子竟然吃的还挺香,没有闻到什么味道 我儿子吃起来很好吃,It doesn't smell like anything. My son ate it pretty good.
47减肥日记 早饭 两个鸡蛋 上午喝了一瓶玉米汁 一些圣女果 中午茼蒿拌豆腐一包贝果 晚饭无,"47 《胖子日记》,早餐,两个鸡蛋, 早上一瓶玉米汁, 一些神圣水果, 中午一袋豆腐, 没有晚餐。","47 Fats Diaries, breakfast, two eggs, a bottle of corn juice in the morning, some sacramental fruit, a bag of tofu at noon, no dinner."
星巴克在北京南站开了7家店 7家啊！可真是够密集的。,星巴克在北京南站经营七家商店,Starbucks runs seven shops at the south station in Beijing.
天青色等烟雨,我等烟雨来,I'll wait for the smoke rain.
20250412,2020200412,20250412
人是一堆观念价值观情绪热情的产物，如果把以上的东西全部拿掉，人又会是个什么东西？,"人类是一帮价值观和激情的产物,如果所有这些东西都被抹去,人类会变成什么样?","The human being is the product of a bunch of values and passions, and what would a human being be if all of those things were removed?"
鞋狗不语，只一味做饼,"鞋狗不说话,只做饼干",Shoe dogs don't talk. They only make cookies.
随手拍 随走随拍 天津天津世纪都会,"用手拿,用手拿,用手拿,用手拿","Take it with your hands, take it with your hands, take it with you."
我靠 我真的两年多没刷过朋友圈了,"哦,该死,我两年多没梳过朋友圈子了","Oh, shit. I haven't brushed a circle of friends in over two years."
700块的衣服还是拍两张吧,我要两块七百块,I'll take two for $700.
祸福相依 得失平衡,根本不是 根本不是 根本不是,It's not even. It's not even.
沙漠果65块钱 四块钱 松子110一公斤 买了20块钱 金针菇三块钱,65块买沙漠水果 4块买松子 110公斤买松子 20块买金蘑菇 3块买金,"65 bucks for desert fruit, 4 bucks, 110 kilos for pine, 20 bucks for golden mushrooms, 3 bucks for gold."
有点我命由我不由天了。挺萌的下次别扎了,"是我的错,下次很可爱",It's kind of my fault. It's cute next time.
这个题目，看上去像是从20242025，从kinkikidsdomoto,"看起来像是20242025年的,来自Kkinkidsdomoto。","It looks like it's from 20242025, from kinkidsdomoto."
有时候真的很感慨命运的奇妙，冥冥之中就会有，那种宿命感是唯物主义解释不了的,"有时这是命运的奇迹 黑社会有东西,这是大事",Sometimes it's a wonder of fate. There's something in the underworld. It's a matter of matter.
好了躺下！,"好了,躺下!","All right, lie down!"
让deepseek给我推荐一些情感扭曲的作品be like：,"让Deepseek推荐我一些情绪扭曲,","Let Deepseek recommend me some emotional distortions, be like:"
想吃饭了 小不溜的爸爸妈妈能不能出来放点饭！,如果你想吃东西 你爸妈能出来吃晚饭吗?,"If you want to eat, can your mom and dad come out and have some dinner?"
哪吒使坏,这有什么错?,What's wrong with that?
这个城市周末还是在高速运转着,城市周末仍然高速运行,The city's still running at high speed on weekends.
我买了6个纸箱，结果我的行李只装3箱，又要便宜我们小区这些捡纸壳的拆迁户了吗。,"我买了六个箱子,所以我的行李只有三个箱子, 而我要让它便宜一些, 对于我们附近那些买纸的人?","I bought six boxes, so my luggage was only three cases, and I'm going to make it cheaper for these paper-pickers in our neighborhood?"
2025323 吃下一整个日期吐司,"2025323,吃下一个全日吐司。","2025323, eat the next full date of toast."
三峡小红船❷  portra 800 velvia 100,三峡红船,♪ Three gorges of red ships ♪
神秘火锅无脸杀手,神秘的火锅无脸杀手,The Mysterious Hotpot Faceless Killer.
标记一下定位 延边长白山站,标记位置 更长的白山站,Mark the location. Longer White Mountain Station.
寫在風中的信植物 随手拍 手机摄影,写在风中的字母植物 手拍 手机摄影,"Letter plants written in the wind, hand-clap, cell phone photography."
乘喷射机离去,我们到飞机那边去,Let's go by the jet.
我那在东南亚旅行的朋友,我在东南亚的朋友,My friend in Southeast Asia.
一整年了 最近太忙了没时间写总结 等忙完吧 回顾下这一年的点点滴滴,已经一年了 我忙得无法写摘要了,"It's been a year, and I've been too busy to write a summary."
查济的日与夜,查吉日夜不眠,Chaji's day and night.
想种地。。,想想一个地方种植它。,Think of a place to plant it.
规划一下，今天去哪儿,规划一下我们今天要去的地方,Plan out where we're going today.
微信太多熟人就需要浅p一下 这里没啥人就懒得p图啦 应该没人看到,我们知道有很多人需要做点什么,There's a lot of people we know who need to do something.
只今只道只今句，梅子熟时栀子香,"我说的就是这些,梅子成熟时闻到的味道",This is all I'm saying. The plums smell when they're ripe.
kkkkk,kkkkkkk kkk kkk kkkk kkk kkk kkkk kkk kkk kkk kkkk kkkk kkkkkow name,kkkkkk
天雨虽广，不润无根之草；道法无边，难度无缘之人。 放过自己,"这是一个大雨,它不是草根, 让你自己去。","It's a big rain, it's not a root of grass; let yourself go."
嘟嘟嘟嘟嘟嘟！,"斗斗,斗斗,斗斗,斗斗!","Dodo, doo, doo, doo!"
搭配的刚刚好,这是完美的匹配。,It's a perfect match.
出门在外人设是自己给的,外人给自己。,The outsiders gave it to themselves.
原来算上实习 我已经上班快两年了,我已经工作了将近两年了,I've been working for almost two years.
从今天开始，演一个欲望很低的人，只喜欢黑咖啡，只喜欢优质蛋白干净碳水和菜叶子，只喜欢读书学习,"从今天开始,一个低思想的人只喜欢黑咖啡, 优质蛋白质, 清洁的碳和蔬菜叶,只喜欢学习。","From today on, a low-minded man likes only black coffee, good-quality protein, clean carbon and vegetable leaves, only studying."
老宙你也需要我给你养铁粉吗？,"宙斯,你也要我喂你铁粉吗?","Do you want me to feed you iron powder too, Zeus?"
原来我的女仆癖是从小时候看我的世界实况开始的。。。,结果发现我的仆人 一直看着我童年的世界,Turns out my valet has been looking at my world as a child.
我每次看黄网切到动画区我就想到这个,每次我看到黄网切到动画区时 都会这样想,That's what I think every time I watch the yellow net cut to the animation area.
低吼厕变红V了,低压马桶变成红色,The low-roar toilet turned red.
海淀区混子,登陆者,The sea-faller.
难得在小区遛一遛,很少在附近走动,It's rare to walk around the neighborhood.
打工打工,我是个兼职工人,I'm a part-time worker.
能量补充剂,能源补充能源,Energy supplement
Barcelona See you！ 西班牙巴塞罗那国际机场,巴塞罗那见!,Barcelona See you!
起舞 ( 薇音乐 ),舞蹈(Vic),Dance (Vic)
这个锅被我养的简直了,我养了这个锅,I raised this pot.
2024就到这里啦,这是2024年。,That's 2024.
啊！！！！,啊哈!,Aah!
午餐 仍然是饺子 今天是速冻饺子,"午餐,还是面包 今天是冷冻的面包","Lunch, still dumplings. It's freezing dumplings today."
两天的社会实践总结 南平,"两天的社会经历, 南平。","Two days of social experience, Nam Ping."
这小东西 确实享受不了 配色挺好看,这小东西真的不能享受它 看起来不错,This little thing really can't enjoy it. It looks good.
今天的事儿 明天再说 ，明天的事儿 明天再拖,我们明天再谈 明天再谈,"We'll talk about it tomorrow, we'll do it tomorrow."
薯条换成玉米杯应该比较健康吧 广州麦当劳(广州黄埔祺航大厦店),我觉得把薯条换成玉米饼是健康的,I think it's healthy to switch French fries to corncups.
0325 我也来月记,0325 我在写下来,0325. I'm writing it down.
首尔天气好不好 你好不好,首尔天气怎么样?,How's the weather in Seoul? How are you?
赶上末班车,搭上最后一班火车,Catch the last train.
成都抚琴,成都手风琴,Chengdu accordion.
今天好热 看看南京接下来几天的天气。 一周内可以体验四季，真好,今天在南京看到接下来的几天太热了 一周有四个赛季真好,"It's so hot today to see the next few days in Nanking, and it's good to have four seasons in a week."
原来觉得跟风时髦 三十岁以后内心belike： 不跟风才能避免当韭菜被收割,"当你30岁的时候,不跟着风,你就不能变成泡菜。","When you're 30 years old, you can't be a pickle without following the wind."
朋友发给我迪士尼扩建消息 预计2050年完工 说 等咱退休了天天去。我：2050年咱还没退休,"朋友们正在向我发送迪士尼扩张的消息, 预计将在2050年完成, 并说当我们每天退休的时候。我说:我们还没有在2050年退休。","Friends are sending me news of Disney's expansion, which is expected to be completed in 2050, and say when we retire every day. I: We're not retired yet in 2050."
人生感悟 若是无法觉察内在的情境，它们就会变成外在的命运。荣格 长沙摩天轮,"生命被提醒,如果你看不到里面的东西, 他们就会变成外部的命运。","Life is reminded that if you can't see what's inside, they'll become an external destiny."
戒断一周了 六个人都要好好的等我凑齐,我辞职已经一周了,It's been a week since I quit.
让我想想2005年 我在干嘛呢？,"让我想想2005年,我在做什么?",Let me think about 2005. What am I doing?
大风刮过 天空湛蓝 天地之间 无尽遐想 苍穹之下是空灵,风吹过天空 天空是蓝色的 天地无穷无尽 天空下是鬼,"The wind blows through the sky, the sky is blue, the heavens and the earth are endless, and beneath the sky is a ghost."
1121 17302130 1122 17302100,1121 1730130 1122 17302100,1121 17302130 1122 17302100
滴 济南人民商场,济南人民购物中心,Jinan People's Mall
我就这样：,我就是这样做到的:,That's how I do it:
老妈不在家 就 造反,"如果妈妈不在家,那...","If Mom isn't home, then..."
深夜食堂,夜食餐厅,The late-night cafeteria.
时光倒流一幅画 明日秋来,时间在倒退 明天秋天再来,Time is running backwards. Come tomorrow fall.
其他的陪伴倒是无所谓，但真的挺想要个饭搭子和旅游搭子一起吃喝玩乐啊,我不关心公司的其他部分 但我很想和旅行者一起吃顿饭,"I don't care about the rest of the company, but I'd really like to have a meal with the traveler."
一组碎玻璃,一块碎玻璃,A set of broken glass.
看到小学幼儿园门口都有警察在看守了,幼儿园门口有警卫,There's a police guard in front of the kindergarten.
五点自然醒的一周,我早上5点醒来,I woke up at 5:00 a.m.
异地恋 Day411,"欺骗,第411日。","Decepticon, Day411."
嘻嘻哈哈呵呵,哈哈哈哈哈哈哈哈哈哈!,Ha ha ha ha ha ha ha ha ha!
没买过男鞋，不知道晃晃会不会喜欢。,我从没买过男人的鞋 我不知道我会不会喜欢,I've never bought a man's shoe. I don't know if I'm gonna like it.
回忆了一下好好吃饭睡觉抗氧化健身的时候压力确实没这么大，压力大也会恶性循环。,在你和氧气吃和睡的时候 压力不是那么大 而是恶性循环,"It's not that stressful when you're eating and sleeping against Oxygen, it's a vicious circle."
周末愉快 成都,"周末愉快,成都","Have a nice weekend, Chengdu."
嗯，让万物穿越自己,"好吧,让一切通过自己。","Well, let everything go through itself."
0033 7788,0033 7788,0033 7788
也挺好的，第一次追星，追了个最烂的，一次性让我对所有明星都祛魅了，怎么不算花钱买教训呢,"没关系,第一次在星星之后, 最坏的时候,它让我好奇所有星星。为什么不给这个教训呢?","It's fine. First time after a star, after the worst, it made me wonder about all the stars. Why not pay for the lesson?"
第三年春,春季 3,Spring 3
所谓有借必有贷 借贷必相等,"你必须借,你必须借, 你必须借,你必须借。","You must borrow, you must borrow, you must borrow."
在这充满石墨粉的工厂，朴素的袖套隆重登场,在这个装满石墨粉的磨坊里 朴鲁圭的袖子重新出现,"In this mill filled with graphite powder, the sleeves of PARK reappear."
听 The Louvre （）,监听 Luovre (),Listen to The Louvre()
拉斐尔珍珠 掼蛋毛尖,拉斐尔珍珠,Raphael pearls.
这竟然是我能说出来的话,这就是我能说的,That's what I can say.
小韩回忆录,韩汉的回忆录,Han's memoirs
摸鱼新境界,触摸鱼的新疆界,Touch the new frontier of fish.
台州叙宴(台州首店),泰州Salmon(台州第一),Taizhou Salmon (Taizhou First)
拜拜派泰克拜拜爱死机艾姆 7年画上一个句号,"再见,派崔克 再见,艾米,七年了","Bye-bye, Patrick. Bye-bye, Amy. Seven years."
生活啊 常德,"生活,常德。","Life, Changde."
出来看雪，雪没看成，东西到是吃了,出来看看雪 看上去不像在吃东西,"Come out and look at the snow, it doesn't look like it's eating."
日常 正月初四上午，京港澳高速，我把自己想象成一个摄像头,现在是早上4点 我想象自己是摄像头,"It's 4 a.m. in the morning, I imagined myself as a camera."
三亚蜈支洲岛旅游风景区游客中心,三州岛旅游中心,Tourist Centre of Triaju Island
记不得上一次来奥森是多久之前咯 时间飞逝,我不记得上次来奥森是多久了,I can't remember how long it was before the last time I came to Orson.
你总是问我爱你爱的有多深,你总是问我有多爱你,You always ask how much I love you.
一时兴起,来吧,♪ Come on ♪
不要因为别人都在交卷，就乱写答案匆匆交卷,"不要写出答案,因为 其他人正在交出来。",Don't write out the answers because everyone else is handing them over.
脸大的芒果,大芒果。,Big mango.
减肥 稍微努力一下 ᖰᖳ,"你减肥了,再努力一点",You're losing weight. Try a little harder.
算了，九月对我好一点。,算了 九月对我更好,Forget it. September's better for me.
论至德者不和于俗，成大功者不谋于众。,"妄言至善者,不以善报善;行善者,不寻求善报。","And those who speak of the best of virtue are not equal to the good, and those who do great deeds do not seek."
全天：如图所示，唯一一顿 运动：无，完全躺尸一整天 体重：117 早睡睡睡睡,"每天:如图所示,唯一的运动是:无运动,全日体重完全死亡:117,早睡。","All-day: As the figure shows, the only sport: none, completely dead all-day weight: 117, sleeping early."
很内向 炒一碗饭都要两个小时,非常内向 找到工作需要两个小时,Very introverted. It takes two hours to get a job.
井底之蛙，不知年岁。 福州,"在井底的青蛙, 未知的年龄。","The frog at the bottom of the well, unknown age."
一个月真的很快。33天了。,"一个月非常快,33天",A month is really fast. 33 days.
厦门你还是熟悉的天气，潮潮的闷闷的热,夏门 你还很熟悉天气 潮汐热,"Xiamen, you're still familiar with the weather, the tidal heat."
我爸居然还不放心我开盘山路 多虑了,真不敢相信我爸不信任我,I can't believe my dad doesn't trust me.
姜惠元  【那年今日】220507 惠元个人ins更新相关图片2p,"Kang Hye Won, 22 507 个人简讯更新 2p","Kang Hye Won, 22,507 personal ins updates 2p"
早点睡 熬夜对手机不好,"早睡,熬夜,对电话不好","Sleep early, stay up late, it's bad for the phone."
好久不见明年见 沈阳,"好久不见了,明年见不到了,沈阳","Long time no see next year, Shenyang."
分享过年前的小日子 湘潭湘潭县,分享上一年的小日子,To share the little days of the year before.
谁想跟我一起听,谁想听我的?,Who wants to hear it with me?
2月5日。 2月5日。 吾柒。,2月5日。 2月5日。,5 February. 5 February.
睡醒第一件事是点杯咖啡，第二件是进行coffee nap,你醒来的第一件事是喝杯咖啡 第二件事是打个午睡,The first thing you wake up is a cup of coffee and the second thing is to make a coffee nap.
MVP结算画面,MVP 定居图像,MVP Settlement Image
陈剑名05 42工业管道,陈剑05 42 工业管道,Chen Sword 05 42 Industrial Pipeline
cool,凉凉,cool
码一些喜剧动脑时刻,这是一个喜剧时刻。,It's a little bit of a comedy moment.
无所谓了，再怎么争辩也没有一点意义，希望我在乎的这个家日子安稳，幸福快乐就好。,"不管怎么说,再争吵也没有意义了 我希望我关心的这个家庭 安全快乐","Anyway, it doesn't make any sense to argue anymore. I hope this family that I care about is safe and happy."
艾怡良那时有你 那时有你 （）,"Eileen把你当年,你当年就把你当回了","Eileen had you back then, you back then."
轻轻飘 落下来,"轻轻地飞,坠落。","Fly gently, fall down."
欢迎回家。,欢迎回家,Welcome home.
總有一種天氣讓我懷念Say it again,总是有天气让我想起 再说一遍,There's always a weather that reminds me of Say it again
懒得p了 存,我厌倦了保存它。,I'm tired of saving it.
有缘再训练模型 AI玉镯  doll,"酸手镯,洋娃娃","Acid bracelet, doll."
妈呀，它在求什么？在求鸭子小香菇？,他乞求什么 鸭蘑菇吗,What's he begging for? Duck mushrooms?
我特别喜欢说有失必有得 有得必有失 真的把得失看得太重了,"我想说,有损失,有损失,有损失,有损失。","I like to say that there's a loss, there's a loss, there's a loss."
等一个时机拿下,等待时机的到来,Wait for the moment to take it.
有失误，但是控龙还不错，比关键时刻送波大的厉害,出错了 但控制龙是好的,"There's been a mistake, but the control dragons are good."
和弟弟讨论喜欢的小说什么算be 他的be：双死 我的be：双替身 一个死 一个活着,"我和我哥哥谈他喜欢说什么,喜欢说什么,他喜欢说什么,他就是: 如此: 如此:做: 做: 做: 做: 做: 做: 做: 做: 做:","I'm talking to my brother about what he likes and what he likes to say, and he's be: be: be: be: be: be: be: be: be: one dead, be: one alive"
想剪刘海 谁支持谁反对,谁赞成反对谁?,Who's in favor of who's against?
牛奶 不知道倒电饼铛上能不能摊出张素皮儿来 天津,牛奶 我不知道能不能把大豆放在天津树枝上,Milk. I don't know if I can put a soybean on my twig. Tianjin.
成都 雨天 咖啡 成都,成都 下雨 咖啡 成都,"Chengdu, rain, coffee, Chengdu."
107抽换来的,107号,It's a 107.
1114,1114号,1114.
秋天听：,秋天收听:,Autumn listening:
flos,? 失落,♪ Floss
让追星女看男豆感觉不过如此是什么样的力量,让追星者看豆子是什么力量?,What kind of power is it to make a star chaser look at a bean?
返校返校,回学校上学,Back to school
包括从陶氏化学接手的反渗透膜产品吗？,包括从陶尔化工公司接管的抗渗透性膜产品?,Including the anti-permeability membrane products taken over from Taur Chemical?
聊牛奶的加热问题，我说我从不喝凉牛奶，却能吃雪糕吃到胃疼,"关于牛奶的加热, 我说我从不喝冷牛奶, 但我吃冰淇淋和胃痛。","About the heating of milk, I said I never drink cold milk, but I eat ice cream and my stomach hurts."
1042，早餐如图2，5个饺子加一点豌豆，我好撑 图1是今天的水果，图3昨天午餐。,"1042,早餐是图2,5 面子和小豆子, 我擅长它,图1是今天的水果,图3是昨天的午餐。","1042, breakfast is figure 2, 5 dumplings with a little peas, I'm good at it, figure 1 is today's fruit, figure 3 was for lunch yesterday."
我睡了12h,我睡了12点,I slept 12h.
残荷落尽，菊花盛开,都碎了 全是菊花,It's all broken up. It's full of daisies.
慈眉善目的不一定是菩萨，青面獠牙的也不一定是恶鬼。,也不是一个恶魔。,"And not necessarily a pious purpose, nor is it an evil-faced devil."
感觉这边的树像吃了激素一样,这棵树好像在吃荷尔蒙,It feels like the tree here is eating hormones.
我在工位听到不知道谁在吃干脆面的声音 此刻 我想吃小浣熊的心情达到了顶峰,我听到有人在办公室吃面的声音 此刻我想吃浣熊,"I heard the sound of someone eating noodles at the office, and at the moment, I wanted to eat a raccoon."
最近的画,最近绘画,Recent paintings
早七人！,你们七个!,Seven of you!
大年初二就要吃抗病毒,"年初,我们要吃抗病毒药","At the beginning of the year, we're going to eat the antivirus."
2024年的第一场雪有点晚 沈阳沈阳建筑大学,2024年的第一场雪有点晚了,The first snow in 2024 was a little late.
春江水暖,春河是温暖的,Spring River is warm.
评论罗伯特总结我的2024,关于罗伯特总结我的2024年的评论。,Comment on Robert summing up my 2024.
part1,第一部分 第一部分,Part 1
现在谁也惹不到我，因为根本没人找得到我。,现在没人能惹我 因为没人能找到我,"No one can mess with me now, because nobody can find me."
keshi,凯希,Keshi.
地下通道都电梯开了，我以为这电梯焊死了呢,电梯是开着的 我以为是焊成死路一条,The elevator's open. I thought it was welded to death.
希望大家引以为戒（反面教材不值得提倡）,希望你别认为这是教训,Let's hope you don't think it's a lesson.
三亚，真的挺热的 三亚,"桑雅,真的很热,桑雅","Sanya, it's really hot. Sanya."
凌晨四点下单了四件商品花了近四十。。。,"上午4时,将4个项目列入清单,花费近40美元。","At 4:00 a.m., four items were placed on the list and spent almost forty."
我勒个去，买的时候以为是大白兔奶糖 果然是村里啊，容错率就是高,"哦,该死,我还以为是一只大白兔糖,是个村庄","Oh, shit. I thought it was a big white rabbit candy. It's a village."
三个多小时终于搞好了,已经三个多小时了,It's been over three hours.
最后一站，爸爸讲解红色教育 旅程结束 昆明,"最后,爸爸说到红色教育 旅程结束","Last stop, Dad talks about red education. End of the journey."
day8臀腿日。,第8天屁股腿日。,Day 8 ass leg day.
太阳可以是蓝色吗 不就在眼前吗？,"太阳会不会是蓝色的,不是吗?","Can the sun be blue, isn't it?"
我真的一开春就会变成饿货 真的好饿 年年三月份关键词：好饿,我一开始春天就饿死了,I'm really hungry as soon as I start spring.
晚安 苏州玉皇宫,"晚安,玉宫,苏州","Good night, Jade Palace, Suzhou."
LN便利店日常plog 半遮面,LN便利商店每日半覆盖,LN convenience store daily tab half-cover
忽略我的脏脏,忽略我的肮脏。,Ignore my dirtyness.
小王子的玫瑰,小王子的玫瑰,Little prince's rose.
与历史对话。 呼和浩特呼和浩特博物馆,与历史对话。,Dialogue with history.
太闲了是会艺谋的,做艺术家太忙了,It's too busy to be an artist.
战友们在西刘屯租了一个房子 取名战友之家 如果你在 一定也会像他们一样 经常聚在那里吧,同志们在赛柳顿租了栋房子 如果你在的话 同志们会一直在那里,"The comrades rent a house in Sai Liutun, and they'll always be there if you're there."
一大早坐地铁回学校，第一次见到这么多广佛通勤的牛马,我早上坐地铁回学校 第一次在广福看到这么多公牛和马,"I took the subway back to school in the morning, and for the first time, I saw so many bulls and horses in Guangfuk."
遛娃手机摄影 生活碎片 随手拍 哈尔滨哈尔滨工程大学,我们会拍下婴儿手机的照片 生命的碎片 用我们的双手 哈尔滨哈宾工程大学,"We'll take pictures of the baby's cell phone, life fragments, with our hands, Harbin Harbin Engineering University."
吃了吗您内,吃过饭了吗?,Have you eaten?
昨天 除了当兵就是喝酒,"昨天,除了当一名士兵之外,喝酒是唯一的事情。","Yesterday, drinking was the only thing except being a soldier."
1月短视频请欣赏,请欣赏一月的录像,Please enjoy the January video.
上一秒 下一秒,"一秒钟,下一秒。","One second, the next."
摩鸡小梁已开工,小良已经开始工作了,Xiao Liang has started work.
没明白为何如此执着出片,我不明白你为什么这么固执,I don't understand why you're so stubborn.
又剪头发了，这次像新兵蛋子入伍,头发又剪了 这次好像是新兵,Hair cut again. This time it's like a new recruit.
近期日常生活。,最近的日常生活。,Recent daily life.
雪花落日蓝天雪山,雪花落在太阳下,♪ Snowflakes fall in the sun ♪
20250215   【2399jin04】,20250215 [2399jin04],20250215 [2399jin04]
北京下初雪了啊,北京下雪了,It's snowing in Beijing.
梦里总是美好的,做梦总是好,It's always good in dreams.
两猪进食,两只猪吃了。,Two pigs ate.
鸭舟嬉香,"鸭子船,玫瑰船",The duck boat. The rosy.
开始沦为外设控,它开始成为一种外部控制。,It's starting to become an external control.
人到排卵期了，就是看到别人家好看女儿疯狂想要,"当你排卵时,你会看到别人的漂亮女儿 她是个疯子","When you're ovulating, you see someone else's beautiful daughter who's crazy."
这个点吃上饭 台州飞跃科创园,让我们吃这个。,Let's eat this.
我 一个平时可以八点就睡觉 周末可以从周六下午睡到第二天中午的人,我通常8点睡觉 从星期六下午到第二天中午,I'm a guy who usually sleeps at 8:00 and sleeps from Saturday afternoon until noon the next day.
清晨与黄昏,早晨和黄昏。,Morning and dusk.
谁的女儿,谁的女儿?,Whose daughter?
为什么突然 这不还没到一周年呢,为什么突然间 连一年都不到,Why all of a sudden? It's not even a year old.
